number;id;xscales;yscales
44;4c76c6cf13eb7b9956a657e8f737021d;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.08653458402597483,0.11500400152919206,0.16552891373657927,0.23603936379270496,0.32155634548540335,0.41244440855064146,0.4936791305635718,0.5472980525670604
45;0333c0a570ca9f1991e19402f3694915;0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133;0.021115486690392333,0.10419795947283246,0.22935175328851307,0.36836045618092317,0.49818385001814247,0.6045253769050172,0.6803393979262349,0.7229174841738003
46;c9c7dd96d96975131667adc5f0bd2d26;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.7496756394510746,0.7237506225673701,0.6767133525196085,0.6087772849476957,0.5225787543471282,0.42605244827442346,0.3351487580550034,0.27258239043971555
47;b50137aa85ff9cebed4f27b82f3a07d3;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.2503243605489252,0.27624937743262973,0.3232866474803914,0.39122271505230416,0.4774212456528718,0.5739475517255764,0.6648512419449965,0.7274176095602845
48;3124aa9874a34a85e02806c753e10197;0.4843603714854677,0.4615086314590419,0.4193783585305854,0.35695865539391053,0.27496435249017387,0.17921774682203534,0.08500524544309436,0.017744630114111672;0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477
49;4515cd68e1685a674cb064a9c0db25be;0.005728011691836329,0.028660020078145384,0.06443764236617672,0.10601966272823855,0.14673046042569568,0.18152073282449321,0.20716326834640436,0.22188377252358168;0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562
50;c4bdbafa0bd0537d5545063ddc66fce6;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9242558867133747,0.8956304245529454,0.8466962167669837,0.7821301838867722,0.7091239980904263,0.6372459939044968,0.5774666515358007,0.5401120670209301
51;f3b0a2f77790ea4243ffc97965eb7886;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.0757441132866252,0.10436957544705444,0.15330378323301622,0.2178698161132276,0.29087600190957374,0.3627540060955032,0.42253334846419927,0.4598879329790698
52;731f86245b060eb2f33a6d1ab288df7c;0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938;0.008451112533847966,0.04193128251859821,0.09306145152070862,0.15085577975633932,0.20581072642802828,0.25154849326809464,0.28456224594463186,0.30325363615167555
53;17bc027a657a24adc2720d3b5060bcb0;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.6043752865324726,0.5912766949111574,0.5693563988446999,0.5413092435837822,0.5107370693031973,0.4817571156116852,0.458457606443937,0.4442526299742043
54;bc41a9d7ae8c93334716330a896fc71d;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.3956247134675272,0.40872330508884247,0.43064360115530015,0.45869075641621776,0.4892629306968027,0.5182428843883146,0.541542393556063,0.5557473700257956
55;0ff3b68ec2ae3ac476c09c32bda6ba35;0.8114635704952626,0.7586031431612763,0.6801560737146307,0.5946477327144376,0.516289684437749,0.45315607669122837,0.40871196154708284,0.38395490018476525;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
56;88c05c1d492fb317bf8a2e1984f14cf7;0.1885364295047373,0.24139685683872364,0.3198439262853693,0.4053522672855624,0.4837103155622509,0.5468439233087716,0.591288038452917,0.6160450998152346;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
57;ddd48a2a79924b6986956ac59bdee1ad;0.46603355146533937,0.44602682084088424,0.4093831050810276,0.3556603097172855,0.2861019244164023,0.2062966863885733,0.12922351723925318,0.0750591405563707;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
